N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared		Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Comentario a la fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Descripción del ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase
					m04_s03_036_x	Descanso en la huida a Egipto	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo	md_10	Esta obra, bastante sencilla en su presentación, mostrando un pasaje en la huída a Egipto donde la Sagrada Familia para a descansar, aca podemos observar que el artista ha recreado al burro con cara de llama y la flora y fauna de esta zona del continente, inspiración de los artistas cusqueños de la época.                                                                              REVISAR : La escena reúne a la Sagrada Familia, al niño Jesús caminando en medio de San José y la Virgen María tomando sus manos. Obra realizada en claro oscuro, típico del arte barroco mestizo y de la Escuela. Cusqueña. Destacan los colores: rojo, verde, marrón y crema. El color del cabello de los padres es oscuro mientras que el del niño es de color rubio, símbolo quizás del mestizaje.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_036_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	Cerámica Mochica Vasija 																																																
	Cerámica Mochica Vasija Sonara Diseño Zoomorfo					SALA 4: SALA ORFEBRERIA (Antigua enfermería)															Aquí la hermana enfermera atendía a las religiosas que necesitaban atención médica. Ahora es la Sala de Orfebrería, en donde se muestran impresionantes piezas de oro, plata y otros materiales. Sobresale la gran Custodia de oro, plata, diamantes, perlas, esmeraldas, rubíes, y otras piedras preciosas, que se mandó a hacer en Arequipa para el Monasterio a poco de su fundación. Es una de las piezas del “Museo vivo “, pues en la Semana Santa, se suele sacar al templo para la pública adoración eucarística del jueves santo.																												
					m04_s04_037_x	Escribanía	Desconocido	No aplica	No registra información	Para colocar el equipo de escritura	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata vaciada, calada y repujada		"En la otra vitrina hay una escribanía, mandada a hacer en 1838, y un braserillo de plata, que se usan hasta el día de hoy, cada 3 años, para la elección de la Madre Priora, formando parte del Museo Vivo de Santa Teresa. Esta escribanía era utilizada por las monjas para los ""Capítulos"" o ""Reuniones importantes de la Comunidad"".  Consta de tres piezas: Tintero, pluma y platillo donde se quemaba el papel. Una escribanía es un conjunto de artículos para escribir que se disponían sobre la mesa de despacho o escritorio. La escribanía como mueble de escritorio no aparece en fecha anterior al siglo XV y aun entonces debió ser raro hasta el XVII. Pero como artículos de escritorio de escribir se halla repetido desde la mejor época del arte romano. La verdadera escribanía consta de:                                                                                                   •        Tintero
•        pluma
•        salvadera, vaso con arena para secar el escrito
•        timbre para llamar
•        algún cuchillo o abrecartas pequeño
Todo ello se coloca sobre un platillo.                                                               Las escribanías de plata no eran aptas para todos los bolsillos. Por eso, estaban reservadas para miembros de la nobleza o escribanos con un alto poder adquisitivo.

                                                                                             "	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_037_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_038_x	Braserillo	Desconocido	No aplica	No registra información	Recipiente utilizado para el sahumerio	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata vaciada y cincelada		Un utensilio elaborado en plata, que se usa hasta el día de hoy, cada 3 años, para la elección de la Madre Priora, para escoger a la Madre Priora todas las madres emiten un voto que luego sera incinerado en este Braserillo. 	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_038_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_039_x	Lámpara Votiva	Desconocido	No aplica	No registra información	Elemento de ofrenda	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata vaciada y cincelada, con aplicación de esmaltes		Esta lámpara votiva, originalmente estuvo en la iglesia.  Ahora lo observamos colgada en la parte media superior. Esta lámpara está repujada en láminas de plata.  Durante siglos 17, 18 y 19 era costumbre colgarla en puerta de las iglesias y encenderla en el momento de la eucaristía.  Contenía aceite.                                 Las lámparas votivas son una tipología de piezas de ajuares litúrgicos cuya función era arder para iluminar, bien a una imagen de la que se sentía una fuerte devoción, bien al Santísimo Sacramento, con lo que eran frecuentes encontrarlas acompañando a los sagrarios de las capillas.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_039_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_040_x	Atril	Desconocido	No aplica	No registra información	Soporte para colocar las escrituras	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata laminada y repujada		Este Atril es una pieza de valor trabajada en madera y revestida en láminas de plata.  El atril tiene el Escudo Carmelita en medio, donde se colocaba el libro sagrado para realizar la lectura. La Instrucción General del Misal Romano dispone que, terminada la oración universal, el acólito coloca sobre el altar el misal (n. 139). No dice nada acerca de que el misal se debe colocar sobre un atril. Sin embargo, siguiendo la antigua costumbre, suele colocarse sobre un atril. El atril es útil para facilitar el cambio de páginas y la lectura. En la forma ordinaria, conviene que el atril se coloque en la credencia desde el inicio de la Misa y hasta el comienzo de la Liturgia Eucarística, en que se lleva con el misal al altar. Ahí permanece mientras se usa, por lo que debe regresar a la credencia para decir la oración después de la Comunión.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_040_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_041_x	Cáliz y Patena	Desconocido	No aplica	No registra información	Objetos para colocar las hostias o cuerpo de Cristo	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata dorada, laminada y burilada		El cáliz o cálice (del griego antiguo κύλιξ kílix) es el vaso en el que el sacerdote católico consagra el vino en la eucaristía. Hay que notar que el cáliz en el cristianismo no es solo usado por la liturgia católica sino por otras iglesias cristianas (aunque se le apliquen otros nombres de acuerdo con cada población) y que deriva de la copa principal usada en el Pésaj ya que Jesucristo en la última cena que era en Pésaj o en vísperas del Pésaj (Pasaje) usó tal importante elemento ritual para establecer la que luego en lenguas romances se denomina común unión o comunión a través del rito de la eucaristía.  El material en que están fabricados todos ellos fue muy variado en los primeros siglos, empleándose de igual forma la plata, el oro, la piedra ágata, el vidrio, el cuerno y la madera, según los recursos de las Iglesias o de los donantes. Pero ya a mediados del siglo IX el Papa León IV prohibió los de madera, plomo y vidrio, bastante raros ya desde el siglo VII, y a principios del XIII se suprimieron todos los que no tuvieran la copa de oro, plata o estaño, quedando también excluido este último metal en la época moderna.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_041_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_042_x	Portapaz	Desconocido	No aplica	No registra información	Objeto de uso litúrgico	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata laminada y repujada		"Portapaz también llamado ""palometa de plata"" donde se quemaba el incienso durante la misa.  El sacerdote solía bendecir esta pieza y era pasada a todos los asistentes como símbolo de paz. El portapaz también llamado ""Los portapaces son objetos religiosos destinados a dar el beso de la paz. Los portapaces sirven para dar a los fieles en la Misa el beso de paz de un modo honesto, religioso y rápido. En los primeros siglos de la Edad Media consistían en una varilla metálica terminada por algún emblema religioso. Desde el siglo XIII ha prevalecido la forma de cuadrito con imágenes de relieve semejando una portadita o un pequeño retablo."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_042_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_043_x	Limosnero	Desconocido	No aplica	No registra información	Objeto para recoger y distribuir las limosnas, durante la celebración de la misa	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata vaciada		https://museoamparo.com/colecciones/pieza/722/-plato-limosnero	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_043_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_044_x	Naveta con emblema Carmelita	Desconocido	No aplica	No registra información	Recipiente utilizado para hechar incienso , en la ceremonias de la iglesia	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata cincelada		 Es el recipiente utilizado en las ceremonias en las Iglesias para echar el incienso junto con una cucharilla, que ofrece al sacerdote, en el interior puede llevar pedazos de carbón para ayudar a la cremación del incienso.	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_044_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_045_x	Copón	Desconocido	No aplica	No registra información	Vaso para distribuir la sagrada comunión	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Repujado en oro con incrustaciones de diamantes, perlas y rubíes		Este copón está trabajado en oro de 24 kilates, tiene incrustaciones de diamantes y rubíes. Copa grande, generalmente de oro o plata, que contiene las sagradas formas para la comunión de los fieles, según el rito católico. En la actualidad los copones suelen ser de menos estatura que los cálices para distinguirlos de estos.  	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_045_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_046_x	Platón de abluciones	Desconocido	No aplica	No registra información	Objeto ceremonial, ritual, usado en la ceremonia de la misa	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata dorada		Abluciones de la misa son las normas que prescriben que inmediatamente después de la comunión el celebrante debe purificar el cáliz con vino y sus dedos con vino y agua, el platon es donde el celebrante limpia sus dedos.	Siglo XVI																							m04_s01_046_x	c_08/03_05; c_12/08_01	Objetos ceremoniales de comunicación; Orfebrería y platería como arte decorativo	Objetos religiosos del cristianismo; Objeto religioso de orfebrería y platería	
					m04_s04_047_x	Crucifijo de marfil	Desconocido	No aplica	No registra información	Evangelizar visualmente a través de el arte. Recordatorio de la muerte de Cristo	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marfil, plata vaciada, carey y ébano		Este crucifijo fue un regalo dado a la orden. La Cruz hecha en madera ebano, en la parte superior aplicaciones de plata tallada  y el cristo tallado en marfil , podemos observar que en vez de 3 estacas en manos y pies hay 4 estacas una por cada extemidad, los ojos son mas chinos. Es una imagen muy realista, ya que muestra las venas saltadas,  la sangre muy real. Esta pieza fue tallada en Filipinas el país oriental mas cátolico y uno de los más católicos del mundo. Esta pieza es un regalo que hace una de las familias como dote al ingreso de su hija al monasterio.                                                                       Vale detenerse ante el Crucifijo de marfil, cuya cruz de ébano, adornada con carey y plata, nos muestra un importante conjunto de exóticos y ricos materiales. Estos Crucifijos, de marfil africano, eran tallados por artistas asiáticos bajo la dirección de comerciantes españoles, que luego los vendían en América, siendo una interesante muestra del tráfico cultural y comercial del Siglo XVIII.	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_047_x	c_11/05_16_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en marfil, tema relligioso	
	Cerámica Mochica Vasija Sonara Diseño Zoomorfo II																																																
	Cerámica Mochica Vasija Policroma Zoomorfa					"SALA 5: SALA CAPITULAR             La Sala Capitular es, desde poco después de 1750, el espacio en el que las monjas se reúnen para realizar ""Capítulos""  El Capítulo en una reunión oficial donde se tomarán decisiones de especial importancia para su Comunidad, como el ingreso de nuevas novicias y la toma de hábitos. Aquí, por ejemplo, se reúnen en la actualidad, cada tres años, para elegir a la nueva Priora;  en otros momentos se reúnen también para tomar decisiones referentes al museo,  el monasterio, y la iglesia. "															La Sala Capitular es, desde poco después de 1750, el espacio en el que las monjas se reúnen para la toma de decisiones de especial importancia para su Comunidad. Aquí, por ejemplo, se reúnen cada tres años para elegir a la nueva Priora. La Sala mantiene el uso y decoración con el que se encontró antes de abrir el Museo, por lo que forma parte del “Museo vivo”.   Esta sala actualmente conserva varios  lienzos que cuelgan de las paredes, que en su mayoría están inspirados en antiguos grabados europeos, así tenemos : La Adoración del Becerro de Oro; dos escenas de la vida del Rey David; una interesante Alegoría de la Iglesia; el Sacrificio de Zacarías, padre de San Juan el Bautista; un cuadro del encuentro de Jesús con La Samaritana; La matanza de los Inocentes y la Prédica de San Juan Bautista. Un cuadro de especial importancia, es el de la Adoración de los Reyes Magos, pintura de gran tamaño que por su dibujo y cromatismo puede atribuirse al pintor cuzqueño del siglo XVIII, Marcos ZapataArequipa en su período virreynal tenía la presencia de pintura mural en la mayor parte del centro histórico.  Eso quiere decir que el sillar no estaba como lo vemos ahora al desnudo, siempre tenía pintura mural interna y en algunos casos externa.  Esta pintura mural se vió afectada por el factor climático, terremotos, como el  del 2001.   En el caso del Monasterio, como patrimonio cultural, a raíz de este último terremoto, este fue seriamente dañado; muchas de sus áreas  internas cayeron, así como la mayor parte de la cúpula de la iglesia, a partir de ese momento por la necesidad de restauración, el Municipio y el Intituto Nacional de Cultura ingresan para apoyar en la restauración de la cúpula;  se reciben también donaciones externas de otras comunidades carmelitas, como es el caso de la comunidad Carmelita alemana quienes fueron los que dieron una importante donación.                                Aquí se tiene una colección de 4 lienzos hecha por el mismo autor:  Adoración del becerro de oro;  Otra nos muestra la lucha entre David y Goliat, vemos a David ingresando al poblado sobre un caballo con la cabeza de Goliat;  																												
	Cerámica Mochica Vasija Tallada Alto Relieve Guerreros				m04_s05_048_x	Cristo de la humildad y la paciencia	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_048_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
	Cerámica Mochica Vasija Monocroma Diseño Antropomorfa				m04_s05_049_x	Pintura mural	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Temple sobre muro seco		La Sala mantiene el uso y decoración con el que se encontró antes de abrir el Museo, por lo que forma parte del “Museo vivo”. De especial interés en esta Sala es la pintura mural, de estilo rococó, de finales del siglo XVIII e inicios del XIX. En concordancia con el gusto de la época, esta pintura no tiene motivos religiosos, sino escenas campestres y guirnaldas puramente decorativas.   Esta pintura mural es original en un 90% Colores tenues, pasteles y trazos diferentes mucho más delicados y finos.  Mientras los lienzos muestran un estilo barroco, aquí podemos ver este estilo.   En este caso la temática no tiene connotación religiosa.  Por ejemplo se puede ver la imagen de un hombre productor agrícola se está arreglando parte del pie,  también se observa un hombre cosechando algunos frutos. En la parte superior vemos una frondosidad que está representando  el Jardín del Edén, que a su vez representaba la exhuberancia de américa. Obseramos papagayos,  árboles frutales como el árbol de granadas. 	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_049_x	c_11/02_78	Pinturas de arte fino	Pinturas murales	
	Cerámica Mochica Vasija AsaPuente Pintada				m04_s05_050_x	Virgen con el Niño	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		REVISAR : La Virgen Cusqueña con el Niño es una representación artística de la iconografía mariana al estilo cusqueño. En esta pintura se presenta a la Virgen María sosteniendo en brazos al Niño Jesús. La escena refleja la actitud enternecida de la Virgen y la dulzura de la expresión del Niño en brazos de su madre. Resalta la característica de decorados en dorado, típicos de la Escuela Cusqueña.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_050_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s05_051_x	San Miguel Arcángel	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Miguel: Príncipe guerrero en la lucha contra el demonio, significa “Quién como Dios”. Atributos: Viste con faldellín,coraza, botas, espada y escudo. En ocasiones se asocia a la balanza, se le representa de pie sobre el demonio.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_051_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s05_052_x	Conversión de San Pablo	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"REVISAR : La composición está inspirada en los textos de los Hechos de los apóstoles escritos por san Lucas, que narran: ""Mas Saulo -llamado posteriormente Pablo-, que todavía no respiraba sino amenazas y muerte contra los discípulos del Señor, se presentó... y le pidió cartas para Damasco... caminando, pues, a Damasco, ya se acercaba a esta ciudad: cuando de repente lo cercó de resplandor una luz del cielo. Y cayendo en tierra, oyó una voz que le decía: Saulo, Saulo, ¿por qué me persigues? Y él respondió: ¿Quién eres tú, Señor? Y el Señor le dijo: Yo soy Jesús a quién Tú persigues..."" (Hechos IX, 1-5). La escena representa el momento en que Jesús le pregunta a Pablo por qué lo perseguía. Tanto el santo como el resto de los personajes van vestidos a la usanza de los centuriones romanos; uno de ellos, montado sobre un caballo negro, sostiene un estandarte con las iniciales del Senado del Coro Romano: S.P.Q.R."	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_052_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s05_053_x	Patrocinio de la Virgen del Carmen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"                                                                                                                                                    Este gran lienzo de la Virgen del Carmen como Protectora de la Orden Carmelita, fue regalado, a mediados del siglo XVIII por el abuelo de la religiosa Catalina Correa.  el Cuadro del Patrocinio de la Virgen. Madera tallada, repujada y recubierta con la técnica del ""pan de oro"" con láminas de oro tiene de 3 a 4 aplicaciones de láminas que le dan un brillo intenso, la imagen principal la Virgen del Carmen y su protección a la Orden del Carmen representada por hombres y mujeres.                                                   REVISAR:  Esta obra está basada en la iconografía de la Virgen de la Misericordia, introducida por Cesario de Heisterback, quien en un éxtasis tuvo una visión en el cual aparecían los monjes cistercienses bajo el manto abierto de María, aludiendo a la misericordia que la virgen tuvo para con sus hijos favoritos.(1) En este lienzo, la virgen aparece al centro, mientras que su amplio manto, sostenido por dos angelitos, se despliega sobre los personajes que aparecen a sus lados. Se observa al profeta san Elías, que viste el hábito carmelita, orden que lo considera su fundador; sostiene la espada flamígera, atributo con que se le representó frecuentemente desde el siglo XVII. También se ve a san Anastasio, monje oriental de la orden de san Basilio, pero considerado santo carmelita, quien viste el hábito de la Orden y en su frente se observa la huella de su martirio. San Francisco de Ceas porta la corona de espinas; san Alberto de Sicilia lleva una vara de azucenas como atributo personal. Santa Teresa de Ávila, viste el hábito marrón con toca blanca, velo negro y manto blanco de las carmelitas descalzas; entre sus manos sostiene los atributos que la identifican como doctora de la Iglesia. Santa María Magdalena de Pazzi, que incorrectamente aparece como María Magdalena de París, sostiene en su mano derecha la cruz, el hisopo y la lanza; va tocada con la corona de espinas que le fue impuesta por Cristo. Santa Eufrosina porta la palma como símbolo de victoria, y por último aparece santa Eufrasia, quien fue martirizada a finales del siglo XVIII en Compiegne, Francia. La virgen presenta la novedad de no tener a su Hijo, al que por lo general sostiene entre sus brazos. (1) Manuel Trens, María, Iconografía de la virgen en el arte español, pp. 257.
"	alrededor de 1750	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_053_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s05_054_x	Ángel de la Guarda	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_054_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s05_055_x	Asunción de la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Pintura de Rubens	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_055_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s05_056_x	Adoración del becerro de oro	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"NICOLAS POUSSIN  
 AMADEO DEL POZO
 El cuadro “La adoración del becerro de Oro”, obra de Nicolás Poussin, esta datado en 1633, realizado en óleo sobre lienzo; tiene unas medidas de 153.4 x 211.8 cm. Se exponen en la sala 19.
 El tema del cuadro está tomado de nuevo del Éxodo. Es la escena en que se encontraba Moisés en el Sinaí orando, y Yahvé le revelaba las leyes recogidas en las tablas de la ley. Viendo que Moisés tardaba, el pueblo solicitó a Aarón un dios a quien adorar. Con el oro de sus joyas fundieron un becerro y lo adoraron como a Yahvé. Al día siguiente, hicieron sacrificios y una gran fiesta, momento que recoge el lienzo.
 Fue pintado como parte de un par de cuadros (el otro es El paso del Mar Rojo) encargado por Amadeo dal Pozzo, Marchese di Voghera de Turin, un primo de Cassiano dal Pozzo, el patrocinado principal de Poussin en Roma."	Mitad siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_056_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s06_057_x	David vence a Goliat	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Obra Original de Palma el Joven	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_057_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s01_058_x	David y Urías	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Insipirada en grabado europeo	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_058_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s05_059_x	Alegoría de la Iglesia	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Inspirada en grabado europeo. Una alegoría no representa necesariamente un hecho histórico bíblico.  Tiene una representación  simbológica moral.  Este cuadro representa  la fe y el proceso de  la cristanización  del mundo.  La mujer está con la luz, que representa el conocimiento, el saber,  que recae en el Vaticano y la iglesia en general.   La carroza representa el proceso de cristianización que viene arrollando a herejes e impíos.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_059_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s05_060_x	Adoración de los Reyes Magos	Zapata, Marcos	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Inspirado en pintura europea Rubens Un cuadro de especial importancia, es el de la Adoración de los Reyes Magos, pintura de gran tamaño que por su dibujo y cromatismo puede atribuirse al pintor cuzqueño del siglo XVIII, Marcos ZapataArequipa Ojo hay un hombrecito con capa que viene a ser un paje que está detrás del rey mago, que solo acompaña y está mirando hacia afuera, no forma parte del todo, que no pertenece propiamente a la escena,  este personaje representa al artista que pintó la obra.  Los artistas aplicaban un color especial en las pupilas que producían un efecto de seguimiento con a mirada. 																								m04_s01_060_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s05_061_x	Sacrificio de Zacarías en el Templo	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Inspirado en grabado europeo	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_061_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s05_062_x	Encuentro de Jesús y la Samaritana	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Inspirado en grabado europeo	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_062_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s05_063_x	Matanza de los Inocentes	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Inspirado en grabado europeo	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_063_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
