N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	Cerámica Chancay Olla				m02_s01_052_x	Cerámica Chancay Olla 	Artesano Chancay	Ninguno	No asignado	Cocción y transporte de alimentos sólidos o líquidos	Museo  Convento La Recoleta	20	17	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03	Olla con diseños de líneas verticales, horizontales, onduladas; destacan los colores naranja, crema y negro	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_052_x	c_07/01_01; c_04/01_06;                         c_04/01_04	Objetos para manipulación y transporte; Herramientos y equipos para procesamiento de alimentos	Contenedores; equipo de almacenamiento de alimentos, equipo de preparación de alimentos.	
	Cerámica Chancay Vasija Jarron Diseño Geometrico				m02_s01_053_x	Cerámica Chancay Jarrón escultórico 	Artesano Chancay	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	35	12	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03,   md_03_03	Jarrón con diseños geométricos y líneas, con aplicación escultórica en el borde superior; destacan los colores crema y negro.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_053_x	c_07/01_01;                         c_04/01_06;            c_04/02_07	Objetos para manipulación y transporte; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Churajón; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Churajón; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Churajón;	
	Cerámica Chancay Cuchimilco I				m02_s01_054_p	Figurina Chancay Cuchimilco 	Artesano Chancay	Ninguno	No asignado	Uso ceremonial o ritual	Museo  Convento La Recoleta	18	10	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03, md_03_03	"Figurina representando a mujer desnuda ""Cuchimilco"", simbolo de protección humana, simbolo de fertillidad y beneficioso para la agricultura; veneración a la luna y hasta como parte del ritual de sacrificios humanos."	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_054_p	c_08/03_01	Objetos ceremoniales de comunicación	Objetos funerarios y ceremoniales	
	Cerámica Chancay Cuchimilco II Parto				m02_s01_055_x	Figurina Chancay Cuchimilco  Parto	Artesano Chancay	Ninguno	No asignado	Uso ceremonial o ritual	Museo  Convento La Recoleta	18	10	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03, md_03_03	Figurina representando mujer en labor de parto. En ocasiones de parto el mago ponia sobre los pechos de la parturienta una figurina en forma de mujer invocando a la luna. Llamaron Chucho ó Curi a los mellizos, los padres hacian penitencia y eran entregados a la enseñanza del mago, al igual que si la criatura nacía de pie.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_055_x	c_08/03_01	Objetos ceremoniales de comunicación	Objetos funerarios y ceremoniales	
	Cerámica Chancay Cuchimilco III				m02_s01_056_p	Figurina Chancay Cuchimilco 	Artesano Chancay	Ninguno	No asignado	Uso ceremonial o ritual	Museo  Convento La Recoleta	20	12	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03, md_03_03	"Figurina representando a mujer desnuda con diseño de figuras geométricas y puntos ""Cuchimilco"", simbolo de protección humana, simbolo de fertillidad y beneficioso para la agricultura; veneración a la luna y hasta como parte del ritual de sacrificios humanos."	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_056_p	c_08/03_01	Objetos ceremoniales de comunicación	Objetos funerarios y ceremoniales	
	Cerámica Sican Vasija Naturalista Yuca Adornada con Reptil				m02_s01_057_x	Cerámica Sicán Vasija escultórica Yuca adornada con Reptil	Artesano Sicán	Ninguno	No asignado	Uso ceremonial o ritual	Museo  Convento La Recoleta	10	20	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03, md_03_03	Vasija con diseño escultórico de reptil sobre una yuca, en color negro.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_057_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Sican Vasija Asapuente Adornada con Langostino				m02_s01_058_p	Cerámica Sicán Botella escultórica con asa puente 	Artesano Sicán	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	26.5	20	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03, md_03_01, md_03_03	Botella de cuerpo globular con dos picos inclinados unidos por un asapuente. Con aplicación escultórica de una cabeza humana. color negro brillante	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_058_p	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Sican Vasija Naturalista Papa				m02_s01_059_x	Cerámica Sicán Botella 	Artesano Sicán	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua. 	Museo  Convento La Recoleta	20	20	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03	Botella de cuerpo globular prominente con gollete tubular pequeño. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_059_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Sican Vasija Monocroma Asa Antropomorfa I				m02_s01_060_x	Cerámica Sicán Botella escultórica 	Artesano Sicán	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	18	10	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03, md_03_03	"Botella de cuerpo globular base de pedestal con diseño escultórico colocado en la base del gollete, que represetaria la cabeza del personaje llamado ""Naylamp"", que según la leyenda es el fundador de la cultura Sican; se le reconoce por los ojos alados.  Color negro brillante."	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_060_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Sican Vasija Monocroma Asa Antropomorfa II				m02_s01_061_x	Cerámica Sicán Botella escultórica 	Artesano Sicán	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	18	12	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03, md_03_03	"Botella de cuerpo globular base de pedestal con diseño escultórico colocado en la base del gollete, que represetaria la cabeza del personaje llamado ""Naylamp"", que según la leyenda es el fundador de la cultura Sican; se le reconoce por los ojos alados.  Color negro brillante."	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_061_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Figura Ave Madera Tallada Sican 				m02_s01_062_x	Figura Ave Madera Tallada Sican 	Artesano Sicán	Ninguno	No asignado	Uso ceremonial o ritual	Museo  Convento La Recoleta	17	10	No registra	No registra	No registra	Regular estado de conservación	Materia: Madera Técnica usada:  tallado	md_01_12, md_03	Figura tallada de un ave.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_062_x	c_08/03_01	Objetos ceremoniales de comunicación	Objetos funerarios y ceremoniales	
	Cerámica Sican Vasija Monocroma Esulpida Cabeza de Ave				m02_s01_063_x	Cerámica Sicán Botella escultórica 	Artesano Sicán	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	17	17	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03, md_03_03	Botella de cuerpo globular con diseños  de puntos y líneas en  relieve, con gollete en forma de cabeza de ave. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_063_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Vicus Vasija Esculpida Zoomorfa				m02_s01_064_x	Cerámica Sicán Botella escultórica 	Artesano Vicus	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	18	15	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Moldeado con intenso pulido	md_01_12, md_03, md_03_03	Botella de cuerpo globular con aplicación escultórica de una cabeza de animal con brazos en la base del gollete. Color naranja.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_064_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Vicus Vasija Esculpida Zoomorfa Camelido				m02_s01_065_x	Cerámica Vicus Recipiente escultórico 	Artesano Vicus	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	12	10	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_06, md_03, md_03_03	Recipiente escultórico representando la figura de un camélido.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_065_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
4	Cerámica Vicus Vasija Esculpida Zoomorfa Primate				m02_s01_066_x	Cerámica Vicus Botella escultórica 	Artesano Vicus	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	15	11	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_06, md_03, md_03_03	Botella escultórica con la figura de un primate.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_066_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
3	Cerámica Vicus Vasija con Asas Esculpidas Zoomorfa Primates				m02_s01_067_x	Cerámica Vicus Cántaro escultórico 	Artesano Vicus	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	20	17	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_06, md_03, md_03_03	Cántaro escultórico con dos asas escultóricas laterales, con diseño de primates. Color marrrón.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_067_x	c_07/01_01;                         c_04/01_06; c_04/02_07;     c_08/03_01	Objetos para manipulación y transporte; Herramientos y equipos para procesamiento de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación	Contenedores; equipo de almacenamiento de alimentos, Recipientes de servicio; Objetos funerarios y ceremoniales	
	Cerámica Vicus Vasija Esculpida Zoomorfa Canino				m02_s01_068_x	Cerámica Vicus Recipiente escultórico figura canino	Artesano Vicus	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	15	15	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_06, md_03, md_03_03	Recipiente con una aplicación escultórica figura de un canino, colocada en un extremo del cuerpo. Con asa cintada en la parte superior del cuerpo. Los primeros perros fueron empleados en la casa no asi en el pastoreo. El perro mas antiguo encontrado en el Perú es el 5,500 ac. el más conocido es el perro Chimu sin pelo.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_068_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Monocroma Zoomorfa Tallada con Multiples Figuras				m02_s01_069_x	Cerámica Mochica Botella escultórica Zoomorfa 	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	19	20	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_05, md_03, md_03_03	Botella gollete asa lateral escultórica, representando animal (mono). 	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_069_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Zoomorfa Camelido				m02_s01_070_x	Cerámica Mochica Botella escultórica Zoomorfa Camélido	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	17	15	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_05, md_03, md_03_03	Botella monócroma escultórica representando la figura de un camélido.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_070_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma AsaPuente Tallada Sapo				m02_s01_071_x	Cerámica Chimú Botella monócroma, asa estribo	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  	Museo  Convento La Recoleta	19	15	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03	Botella con asa estribo y gollete alargado. Con diseño de un sapo trabajado en alto relieve. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_071_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma AsaPuente Zoomorfa Pez				m02_s01_072_x	Cerámica Chimú Botella escultórica zoomorfa Pez, monócroma 	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	19	11	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella escultórica con asa estribo y gollete alargado,  cuerpo con diseño de un pez. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_072_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma Zoomorfa 				m02_s01_073_x	Cerámica Chimú Botella monócroma 	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	13	8	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03	Botella monócroma con diseño en alto relieve representando la figura de un animal. Color negro.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_073_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma AsaPuente Figura de Pesca				m02_s01_074_x	Cerámica Chimú Botella escultórica monócroma asa estribo	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	17	15	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella gollete tubular y  asa estribo con diseños de pesca. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_074_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma Diseño Dos Sapos				m02_s01_075_x	Cerámica Chimú Botella escultórica monócroma con Diseño de Dos Sapos	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	18	12	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella monócroma, con gollete amplio, cuerpo escultórico con figura de 2 sapos. Color negro brillante	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_075_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma AsaPuente Sapo				m02_s01_076_x	Cerámica Chimú Botella escultórica monócroma con diseño de sapo	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales.	Museo  Convento La Recoleta	18	12	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella con gollete y asa estribo, cuerpo escultórico diseño de un sapo. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_076_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
