DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
Calle Piérola, segunda cuadra, año 1960	5	p		m01_s05_132	Fotografía de la calle Piérola terremoto año 1960	Diario La Prensa	396439000514                  (0422461902141)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XX	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía en blanco y negro	Sobre la obra: se observa una multitud de personas caminando en diferentes direcciones, cruzando la pista por donde se encuentran pasando autos.	1960	p_04_04	Moderno	Desconocida	Desconocida	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_132	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XX); Objetos documentales, grafícos, en blanco y negro, suscesos históricos  del Perú (terremotos) (siglo XX)			
Calle Siglo XX, año 1960	5	p		m01_s05_133	Fotografía de la calle Siglo XX, terremoto año 1960	Diario La Prensa	396439000515                  (0422461902140)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XX	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía en blanco y negro	Sobre la obra: se observa el pésimo estado de una casa de dos pisos (fachada destruida y balcón cayéndose) ubicada en siglo XX esta escena está siendo observada por un hombre 	1960	p_04_04	Moderno	1960	1960	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_133	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XX); Objetos documentales, grafícos, en blanco y negro, suscesos históricos  del Perú (terremotos) (siglo XX)			
Plaza de Armas de Arequipa, año 2001	5	p		m01_s05_134	Fotografía de la Plaza de Armas de Arequipa, terremoto año 2001	Diario La Prensa	396439000551                 (04226190204)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XXI	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía a color	Sobre la obra: se observa la plaza de armas en el momento del terremoto.	2001	p_04_05	Contemporáneo	2001	2001	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_134	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XXI); Objetos documentales, grafícos, a color, suscesos históricos  del Perú (terremotos) (siglo XXI)			
Torres de la Catedral, año 2001	5	p		m01_s05_135	Torres de la Catedral, terremoto año 2001	Diario La Prensa	396439000497	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XXI	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía a color	Sobre la obra: Se observa el techo de la catedral donde hay escombros (producto de la caída de algunas partes de las torres) y la destrucción de una de las torres (lado derecho), hay una joven en el centro de la imagen.	2001	p_04_05	Contemporáneo	Desconocida	Desconocida	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_135	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XXI); Objetos documentales, grafícos, a color, suscesos históricos  del Perú (terremotos) (siglo XXI)			
Calle Puente Bolognesi, año 2001	5	p		m01_s05_136	Calle Puente Bolognesi, terremoto año 2001	Diario La Prensa	396439000548                 (042246190206)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XXI	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía a color	Sobre la obra: se observa los daños ocasionados en una casa (fachada) la escena está siendo observada por un hombre.	2001	p_04_05	Contemporáneo	2001	2001	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_136	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XXI); Objetos documentales, grafícos, a color, suscesos históricos  del Perú (terremotos) (siglo XXI)			
Tiabaya, año 1960	5	p		m01_s05_137	Tiabaya, terremoto año 1960	Diario La Prensa	396439000498                 (0422461902144)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XX	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía en blanco y negro	Sobre la obra: se observa dos mujeres sentadas sobre los escombros una de ellas es ayudada por un religioso.	1960	p_04_04	Moderno	1960	1960	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_137	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XX); Objetos documentales, grafícos, en blanco y negro, suscesos históricos  del Perú (terremotos) (siglo XX)			
Bóveda dañada y órgano a salvo - Catedral de Arequipa, año 2001	5	p		m01_s05_138_p	Bóveda dañada y órgano a salvo - Catedral de Arequipa, terremoto año 2001	Diario La Prensa	396439000496                  (042246190203)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en siglo XXI	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía a color	Sobre la obra: Se observa el daño ocurrido a la bóveda de la Catedral y los escombros que cayeron delante del órgano sin hacerle ningún daño.	2001	p_04_05	Contemporáneo	2001	2001	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_138_p	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XXI); Objetos documentales, grafícos, a color, suscesos históricos  del Perú (terremotos) (siglo XXI)			
Torre y bóveda dañada de la Catedral de Arequipa, año 2001	5	p		m01_s05_139	Torre y bóveda dañadas de la Catedral de Arequipa, terremoto año 2001	Diario La Prensa	396439000542                 (042246190202)	Registro fotográfico e histórico de desastres naturales (terremotos) acontecidos en la ciudad de Arequipa en el siglo XXI	Museo Histórico Municipal de Arequipa	31.4 cm	26 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fotografía a color	Sobre la obra: se observa la destrucción de la torre (derecha) de la Catedral.	2001	p_04_05	Contemporáneo	2001	2001	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_139	c_11/03_02_01;  c_11/03_04_02; c_08/04_05	Fotografías de Arte fino;  Objetos documentales de comunicación	Fotografía, imágenes históricas,  paisajes arquitectónicos urbanos  ciudades históricas del Perú (siglo XXI); Objetos documentales, grafícos, a color, suscesos históricos  del Perú (terremotos) (siglo XXI)			
Maqueta Andagua	5	p		m01_s05_140	Maqueta distrito de Andagua - Arequipa. 	Desconocido	39648300007	Registro topográfico en relieve de un distrito de Arequipa	Museo Histórico Municipal de Arequipa	151.5 cm	151.3 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Fibra de vidrio y cal. Estilo tridimensional - realista.		2008  fecha de restauración	p_04_03	Republicano	Finales del siglo XIX e inicios del siglo XX	Finales del siglo XIX e inicios del siglo XX	Desconocida	Desconocida	Desconocida	Desconocido	Desconocido	Donación	Desconocido	Ninguna	Desconocida	No disponible		"Sala  ""Terremotos"""	"Sala 5 ""Terremotos"""			m01_s05_140	c_08/04_05	Objetos documentales de comunicación	Maquetas topograficas de relieve, lugares geográficos, Perú.			
																																													
																																													
SALA 6																																													
AREQUIPEÑOS ILUSTRES																																													
																																													
José Luis Bustamante y Rivero. Jurista Presidente de la República, Presidente de la Corte Internacional de Justicia de la HAYA. Estableció la soberanía de las 200 millas del mar Territorial. Escritor.	6	p		m01_s06_141p	José Luis Bustamante y Rivero	Prieto de La Jara	396439000365 (373)	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	80 cm	63 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra:  En la pintura se observa un hombre (plano medio corto) con el rostro (cabello negro, frente amplia, bigote y lleva puesto lentes) y cuerpo ligeramente volteado a la izquierda, viste un terno (saco negro, camisa blanca y corbata celeste). Sobre el personaje: José Luis Bustamante y Rivero nació en Arequipa (1894-1989)  Jurista, Presidente de la República de 1945 a 1948, Presidente de la Corte Internacional de Justicia de la HAYA. Estableció la soberanía de las 200 millas del mar Territorial. Escritor. 	Desconocida	Desconocido	Personaje de la época republicana y moderna, finales del siglo XIX  y siglo XX.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_141p	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Fray Marino Olguín. Obispo de Lima, tuvo el mando de la República por unas horas. Fundador del Círculo de obreros católicos.	6	p		m01_s06_142	Fray Mariano Holguín	Prieto de la Jara	396439000363 (372)	Homenaje a la labor intelectual, religiosa  y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	100 cm	76 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra: En la pintura se observa un hombre (plano medio corto) su rostro (cabello blanco, lleva puesto un solideo rojo) y cuerpo están ligeramente volteados hacia la derecha, viste un habito franciscano (color café).  Sobre el personaje: Fray Mariano Holguín nació en Arequipa en el año de 1860. Fue un religioso franciscano peruano.  Llegó a ser Obispo de Lima y Fundador del Círculo de obreros católicos,  y tuvo, por unas horas, el mando de la República el 1 de marzo de 1931.	Desconocida	Desconocido	Desconocido	Probablemente inicios siglo XX	Probablemente inicios siglo XX	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_142	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Francisco García Calderón	6	p		m01_s06_143	Francisco García Calderón	Desconocido	396439000355	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	150 cm	117 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra :  En la pintura se observa un hombre (plano tres cuartos) sentado en un sillón rojo, con el rostro (cabello blanco, frente amplia y bigote blanco) y cuerpo ligeramente volteado a la izquierda, viste un terno (saco azul, pantalón azul  y corbata azul). Sobre el personaje: Francisco García Calderón nació en Arequipa el año de 1834 y falleció en 1905. Fue un jurista, militar, político y diplomático peruano, que llegó a ser Presidente del Perú durante un breve periodo, desde marzo hasta noviembre de 1881, conocido como el Gobierno de La Magdalena, en plena Guerra del Pacífico.	Desconocida	Desconocido	Desconocido	Probablemente a inicios del siglo XX	Probablemente a inicios del siglo XX	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_143	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Fundación Española de Arequipa	6	p		m01_s06_144p	Fundación Española de Arequipa	Gálvez Álvarez, José	396439000359	Ilustrar y registrar gráficamente el momento de la Fundación de la ciudad de Arequipa.	Museo Histórico Municipal de Arequipa	110 cm	140 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra:  En la pintura se observa  en el centro a un español levantando la mano, mientras es observado por otros españoles (lado derecho) y religiosos (lado izquierdo) al fondo se observa un crucifijo y al volcán Misti. Sobre el tema de la pintura: La pintura grafica el momento de la Fundación de Arequipa en el año 1540, por  los españoles. La fundación estuvo a cargo del fundador español García Manuel de Carbajal (como consta en el Acta de la Fundación de Arequipa que se exhibe en este museo) y tuvo lugar en la Plaza de Armas de esta ciudad.   	Desconocida	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_144p	c_11/02_02	Pinturs de arte fino	Pinturas, escenas históricas, ciudades del Perú, época de la conquista.			
Eduardo López de Romaña	6	p		m01_s06_145	"Eduardo López de Romaña y Alvizuri

"	J. Lepiani	396439000362	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	135 cm	130 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra: En la pintura se observa a un hombre (plano tres cuartos), con el rostro (cabello negro, frente amplia y bigote) y cuerpo ligeramente volteado hacia la izquierda, viste un terno (saco negro, camisa blanca con cuello smoking, pantalón negro  y banda presidencial roja y blanca). Sobre el artista: Lepiani nació en Lima - Perú,  conocido por sus óleos inspirados en temas históricos y patrióticos, especialmente en episodios memorables de la guerra del Pacífico.
Sobre el personaje : Eduardo López de Romaña nació en Arequipa el año de 1847. Fue un ingeniero, empresario y un destacado político peruano, que ocupó la Presidencia Constitucional del Perú de 1899 a 1903. Fue el primer presidente peruano con profesión de ingeniero. Con él se inició la etapa llamada la República Aristocrática, que duraría hasta 1919. "	1900	p_04_03_01	Republicano	1900	1900	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_145	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Nicolás de Piérola. Fue Revolucionario en el gobierno de Manuel Prado y Mariano Ignacio Prado - Presidente de la República	6	p		m01_s06_146	Nicolás de Piérola	Desconocido	396439000348	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	110 cm	82 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra :  La pintura muestra la imagen de Nicolás de Piércola vistiendo la banda presidencial del Perú.   Sobre el personaje: José Nicolás Baltazar Fernández de Piérola y Villena, conocido como  Nicolás de Piérola y apodado ""El Califa"",  nació en Arequipa el año de 1839 y murió en Lima el año 1913. Fue un destacado político peruano revolucionario en el gobierno de Manuel Prado y Mariano Ignacio Prado.  Ocupó la Presidencia del Perú en dos oportunidades: la primera, de facto, de 1879 a 1881; y la segunda, de jure, de 1895 a 1899. Según opinión de diversos autores, es el presidente peruano más importante del siglo XIX, junto a Ramón Castilla.
"	Desconocida	Desconocido	Desconocida	Probablemente a finales del siglo XIX	Probablemente a finales del siglo XIX	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_146	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Pedro Diez Canseco. Diputado, senador y Presidente de la República del Perú. Apoyó a Ignacio Prado. Encabezó la revolucion de 1867.	6	p		m01_s06_147	Pedro Diez Canseco	Pantigoso	396439000350	Registro histórico de un notable ciudadano arequipeña que formó parte de los presidentes del Perú. Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	87 cm	67 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	Sobre la obra :  En la pntura se observa un hombre (plano medio), con el rostro (cabello negro, frente amplia, barba y bigote negros) ligeramente volteado hacia  la izquierda, viste un traje de gala militar (lleva puesto la banda presidencial roja y blanca.  Sobre el personaje: Pedro Nolasco Diez Canseco Corbacho nació en Arequipa - Perú el año de 1815 y falleció en 1893. Fue un militar y destacado político peruano. Diputado, senador y Presidente interino de la República del Perú en tres ocasiones. La primera vez fue en 1863, luego en 1865 y finalmente en 1868.  Apoyó a Ignacio Prado. Encabezó la revolución de 1867. 	Desconocida	Desconocido	Desconocida	Probablemente a finales del siglo XIX e inicios del siglo XX	Probablemente a finales del siglo XIX e inicios del siglo XX	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_147	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Ignacio Álvarez Thomas. Militar prócer de la independica americana.	6	p		m01_s06_148	Ignacio Álvarez Thomas	Desconocido	396439000364	Homenaje a su participación militar en la lucha por la independencia de América.	Museo Histórico Municipal de Arequipa	104 cm	74 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Dibujo a carboncillo sobre papel	"Sobre la obra: En el dibujo se observa un hombre (plano tres cuartos), con el rostro (cabello negro con patillas y frente amplia) y cuerpo ligeramente volteado hacia la izquierda, viste un traje de gala militar (su mano derecha está a la altura de su estómago).  Sobre el personaje: Ignacio Alvarez Thomas nació en Arequipa - Perú el año de 1787 y falleció en el año de 1857). Fue militar, político y prócer de la independencia americana. 

"	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_148	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Juan Antonio del Fierro y V. Clérigo fundador del Colegio de las Educandas.	6	p		m01_s06_149	Jorge Antonio del Fierro y Velarde.  	Desconocido	396439000559 (210)	Homenaje a la labor intelectual, religiosa  y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	173 cm	120 cm	No aplicable	No aplicable	No aplicable	No definido	Conservado	Oleo sobre lienzo	" Sobre el personaje: Nació en Arequipa en 1814. Clérigo fundador del primer colegio de mujeres de Arequipa ""Las Educandas"" inaugurado en 1813. En el local actualmente funciona el local turístico artesanal denominado ""El fundo del Fierro""."	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_149	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Juan Pablo Vizcardo y Guzmán. Precursor e ideólogo de la Independencia Americana. Autor de la famosa Carta a los Españoles Americanos. Arengaba a los criollos de hispanoamérica a luchar contra la opresión de los españoles.	6	p		m01_s06_150	Juan Pablo Vizcardo y Guzmán	Martínez Málaga, Víctor	396439000304 (080)	Homenaje a su participación intelectual y social en la lucha por la independencia de América.	Museo Histórico Municipal de Arequipa	103 cm	80 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra : Se observa un hombre (plano medio), con el rostro (cabello negro, frente amplia) y cuerpo ligeramente volteado a la derecha, viste un terno (saco negro, camisa blanca). Muestra al personaje en la época en que probablemente fue precursor de la independencia americana. Sobre el artista: Víctor Martínez Málaga nació en Arequipa el año de 1890 y falleció el año de 1976.  fue un pintor figurativo peruano, especialmente apreciado por sus retratos y paisajes del sur andino. Dirigió también la Escuela Regional de Bellas Artes “Carlos Baca Flor” de Arequipa.
Sobre el personaje: Juan Pablo Vizcardo y Guzmán nació en Arequipa - Perú el año de 1748 y falleció el año de 1798. Fue un jesuita y escritor peruano. Precursor e ideólogo de la Independencia Americana. Autor de la famosa Carta a los Españoles Americanos, documento publicado por primera vez en 1799, donde instaba a los hispanoamericanos a independizarse de la corona española, exponiendo una serie de argumentos que justificaban tal decisión. Ha sido reconocido por los historiadores reunidos en el tercer congreso de Historia de América realizado en Buenos Aires, como el “primer precursor ideológico de la independencia americana”.
"	1966	p_04_05	Contemporáneo	1966	1966	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_150	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
José María Corbacho y Abril. Magistrado Político y prócer de la Independencia.	6	p		m01_s06_151	José María Corbacho y Abril	Desconocido	396439000225	Homenaje a su participación intelectual y social en la lucha por la independencia de América.	Museo Histórico Municipal de Arequipa	107 cm	85 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra: Se observa un hombre (plano medio), con el rostro (cabello negro y frente amplia) y cuerpo ligeramente volteado a la derecha, viste un terno (saco negro, camisa blanca con cuello smoking y corbata blanca), lleva una medalla (colgando en su cuello con una aro dorado).  Sobre el personaje: nació en el año de  1785, falleció en el año de 1843,  fue poeta, magistrado y político peruano. Prócer y Fundador de la Independencia del Perú.

"	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_151	c_11/02_07	Pinturas de arte fino	Oleos de retratos históricos			
Juan de Dios Salazar. Médico, abogado, matemático. Cosmógrafo e inventor del metrógeno. Instrumento para medición de ángulos.	6	p		m01_s06_152	Juan de Dios Salazar 	Desconocido	396439000219	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	104 cm	78 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra: Se observa un hombre (plano medio), con el rostro (cabello negro, frente amplia y bigotes) y cuerpo ligeramente volteado a la izquierda, viste un terno (saco negro, camisa blanca, y corbata se lazo negra), su brazo izquierdo está apoyado en una meza (donde esta un globo terráqueo y está colgado un cráneo), lleva puesta una cinta (color celeste que desde su hombro derecho a su cintura). Sobre el personaje: Juan de Dios Salazar  nació en Arequipa en el año de  1776 y falleció en 1798.  Fue médico, abogado  y matemático. Hizo la delineación de la ciudad y la capacitación de los artesanos.                                                                                                                  

"	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_152	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
Mateo Paz Soldán	6	p		m01_s06_153	Mateo Paz Soldán	Desconocido	396439000342	Homenaje a la labor intelectual y social del personaje, en favor de la comunidad arequipeña	Museo Histórico Municipal de Arequipa	104 cm	78 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo sobre lienzo	"Sobre la obra: Se observa la imagen de un hombre (plano medio) con el rostro (barba y frente muy amplia) y cuerpo ligeramente volteado a la derecha, vistiendo terno (saco negro, camisa blanca y corbata de lazo negra), su mano izquierda sostiene un bastón y su mano derecho está apoyado en una meza. Sobre el personaje: Nació en Arequipa en 1812. Fue un matemático, astrónomo, geógrafo, abogado y poeta peruano. Calificado como un ""Monstruo del saber"", por la vastedad de sus conocimientos científicos y humanísticos, fue autor de una reputada Geografía del Perú."	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arequipeños ilustres"""	"Sala 6 ""Arequipeños Ilustres"""			m01_s06_153	c_11/02_08	Pinturas de arte fino	Pinturas de arte fino - oleos de personajes célbres			
